Nama Franchise,Modal Minimal,Kategori Franchise,Franchise Fee,Nama Perusahaan,Biaya Royalti,Berdiri Sejak,Biaya Advertising,Jumlah Gerai,Alamat,Contact Person,Nomor WA,Telepon,Fax,Email,Website
Lihai Betul,Rp 9.000.000,Makanan & Minuman,-,CV.MITRA KULINER SEJAHTERA ,-,2019.0,-,1.0,"jl honggowongso 70 pasar kembang, Solo ",Lihai Betul ,+6282215510077  (Klik nomor untuk chat via WA),Hp : 0822 1551 0077 , ,lihaibetul86@gmail.com,Klik : http://www.instagram.com/lihai.drink/
Lima Warna Dalgona Boba,Rp 5.900.000,Makanan & Minuman,-,Sandi Group ,-,2020.0,-,218.0,Ruko Vila Galaxy Pulo Ribung Raya Blok RGL No. 15 Bekasi Selatan - Bekasi 17147 ,Lima Warna Dalgona Boba ,+6281228980225  (Klik nomor untuk chat via WA),0812 2898 0225 |Jabodetabek  0821 3565 5737 |Luar Jabodetabek , ,helo.limawarna@gmail.com,-
Lion Parcel,Rp 2.500.000,Business Services,,PT Lion Express ,,2013.0,,2500.0,Jln Agave Raya No 55 Kedoya Selatan Jakarta Barat 11520 ,RIZKI ,+6281316810400  (Klik nomor untuk chat via WA),Hp : 0813-1681-0400 (RIZKI) (jabodetabek/ luar jabodetabek) , ,npos@lionparcel.com,Klik : http://lionparcel.com
LION SUGAR,Rp 8.000.000,Makanan & Minuman,,LION SUGAR OFFICIAL ,,2018.0,,9.0,Perum Residence 9 Mojosongo Surakarta ,LION SUGAR ,+6289647319913  (Klik nomor untuk chat via WA),Hp : 0896 4731 9913 , ,lionsugarngemplak@gmail.com,-
Little Kyoto Takoyaki,Rp 3.900.000,Makanan & Minuman,0,Team Little Kyoto Takoyaki ,0,2018.0,0,25.0,"Perumahan Madu Asri Blok B No.43, Tohudan, Colomadu, Karanganyar, Jawa Tengah. ",082324329981 ,+6282324329981  (Klik nomor untuk chat via WA),0823 2432 9981 ,082324329981 ,littlekyototakoyaki@gmail.com,Klik : https://www.instagram.com/littlekyototakoyaki/
Little Squad,Rp 8.900.000,Makanan & Minuman,-,Little Squad Indonesia ,-,2020.0,-,5.0,Jalan Merak RT 04 RW 22 Waringin Rejo Cemani Grogol Sukoharjo Jawa Tengah  ,Little Squad ,+6281227008074  (Klik nomor untuk chat via WA),Hp : 081227008074 , ,littlesquadofficial@outlook.com,Klik : http://littlesquadindonesia.com
Loi Loi Street Cafe,Rp 16.900.000,Makanan & Minuman,-,Loi Loi Street Cafe ,-,2016.0,-,6.0,"Jl. Anggrek Cakra No. 14, Rt. 4/Rw. 3 Sukabumi Utara Kec. Kb. Jeruk, Jakarta Barat ",Loi Loi Street Cafe ,+6289650839698  (Klik nomor untuk chat via WA),Hp : 089650839698 , ,loiloi_partnership@gmail.com,-
Lontang Lantung,Rp 20.500.000,Makanan & Minuman,,CV. Lontang Lantung Indonesia ,1.500.000,2019.0,,14.0,"Perumahan Borobudur Regency,Blok J-11 Banyuwangi-Jawa Timur ",Lontang Lantung ,+6289507500890  (Klik nomor untuk chat via WA),HP : +62 895 0750 0890 , ,lontanglantungice@gmail.com,-
LP3T-NF / LP3T Nurul Fikri,Rp 300.000.000,Jasa Pendidikan & Pelatihan,"50,000,000/ 5 tahun",PT Nurul Fikri Cipta Inovasi ,10% dari penghasilan kotor,2000.0,Free untuk skala nasional!,4.0,JL Margonda Raya No.522 Depok 16424 ,"Unggul Sagena , Hendri , Yatno ",+6285102185441  (Klik nomor untuk chat via WA),021 7874 223 021 7874 224 021 7720 6991  0851 0218 5441  0821 2544 4140  0813 1600 9505  0812 8584 4445 ,021 7874225 ,info@nurulfikri.com,Klik : http://www.nurulfikri.com
Lucky Crepes,Rp 5.500.000,Makanan & Minuman,2000000,Lucky Crepes ,0,2004.0,0,88.0,"Jln Citra Tangerang, Serdang Asri 3, Blok R 15 No 30, Tangerang ",Teti ,,"021-70506226 , 08159007272 ", ,lucky_crepes@yahoo.com,Klik : http://www.luckycrepes.com
Lulla Thai Tea,Rp 20.000.000,Makanan & Minuman,0,Lulla Thai Tea ,0,2016.0,0,50.0,Jln Komplek Perhubungan Udara Blok B nO 9 Jakarta Pusat ,Lulla Thai Tea ,+6281310810555  (Klik nomor untuk chat via WA),Hp :081310810555 , ,lullathaitea@gmail.com,-
Mabok Duren,Rp 4.200.000,Makanan & Minuman,-,Mabok Duren ,-,2018.0,-,15.0,Perum Griya Bungah Asri Blok F No 17 Bungah Gresik 61152 ,Mabok Duren ,+6285608503420  (Klik nomor untuk chat via WA),Hp : 085608503420 , ,cs.mabokduren@gmail.com,Klik : https://mabokduren.com/
Magic Bean Coffee,Rp 10.000.000,Makanan & Minuman,Rp 10.000.000,magic bean coffee indonesia ,Rp 250.000,2020.0,tdk ada,2.0,kamal raya 45 jakarta barat ,yopi ,+6281385395558  (Klik nomor untuk chat via WA),0813 8539 5558 , ,yopiwidjaya27@gmail.com,Klik : http://magicbean.id
Magu Magu Fried Chicken,Rp 5.300.000,Makanan & Minuman,-,Magu Magu Fried Chicken ,-,2018.0,-,,Jln Raya Tajem No 15 Yogyakarta ,Emmanuel Wahyu Hendarto ,+628112821904  (Klik nomor untuk chat via WA),(0274) 4363086 0811 282 1904 , ,-,-
Malikcool,Rp 7.000.000,Makanan & Minuman,,Malikcool ,,2016.0,,5.0,"Jl. Pabelan I No.3, RT.1/RW.2, Gatak, Pabelan, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57169 ",082322967515 ,+6282322967515  (Klik nomor untuk chat via WA),082322967515 ,- ,elinda_rs@yahoo.com,-
Mamacis Kitchen,Rp 10.000.000,Makanan & Minuman,-,Mamacis Kitchen ,-,2015.0,-,25.0,Mamacis Kitchen Pusat Malang ,Mamacis Kitchen ,+6281233966670  (Klik nomor untuk chat via WA),Hp:081233966670 , ,mamacis.kitchen@yahoo.com,-
Mamime (Martabak Mini Medan),Rp 18.000.000,Makanan & Minuman,-,MAMIME ,-,2014.0,-,19.0,"Jl. Perjuangan No.94, Sei Kera Hilir I, Medan Perjuangan, Kota Medan, Sumatera Utara 20222 ",mamime ,+628116540123  (Klik nomor untuk chat via WA),Hp: 08116540123 081260087996  , ,martabakminimedan@gmail.com,Klik : http://www.mamime.co.id
Mangojack,Rp 9.500.000,Makanan & Minuman,-,Mangojack ,-,2017.0,-,100.0,Jl.Kyai Telingsing G.Daulat No.168B Kudus ,Mangojack ,+6282225505500  (Klik nomor untuk chat via WA),0822 2550 5500 0822 1331 7007 , ,-,Klik : https://mangojack.id
Manja Cheese Tea,Rp 5.800.000,Makanan & Minuman,-,Manja Cheese Tea ,-,2019.0,-,2890.0,"Jl. Adi Sucipto No.42, Puspan, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57174 ",Manja Cheese Tea ,+6282314204689  (Klik nomor untuk chat via WA),Hp : 0823 1420 4689 , ,pemasaranpta01@gmail.com,Klik : https://www.manjacheesetea.com
Mantra Manado,Rp (Please Call),Makanan & Minuman,,The Aroma Group ,,2017.0,,4.0,"Jln. Kejaksaan No. 137 A, Medan, Sumatera Utara ",Mantra Manado ,+6281261601466  (Klik nomor untuk chat via WA),Hp : 0812 6160 1466 0821 6666 2988  Tlp: (061)80513865 , ,-,Klik : http://www.mantramanado.com
Mao Kopi,Rp 32.000.000,Makanan & Minuman,-,Mao Kopi ,-,2018.0,-,10.0,Jl. Tanjung Duren No 353B Jakarta Barat ,Mao Kopi ,+6281317227595  (Klik nomor untuk chat via WA),Hp : 081317227595 , ,-,-
MARKOTANG,Rp 90.000.000,Makanan & Minuman,,MARKOTANG (MARTABAK KOTA UNGARAN) ,,2017.0,,3.0,"JL. MT. HARYONO 28 RT 09 RW 01, KEL. UNGARAN, KEC.UNGARAN BARAT, KAB. SEMARANG, JATENG ",NITA KRISNAWATI ,+6288802420427  (Klik nomor untuk chat via WA),08880 2420 427 , ,nita.krisna08@gmail.com,-
MARTABAK APIN,Rp 30.000.000,Makanan & Minuman,"2,5 % dari omzet bulanan",MARTABAK APIN ,-,2016.0,-,9.0,Jl.Tentara Pelajar No. 81 Cirebon ,Diki Rusnandar (Owner) ,+6282216747461  (Klik nomor untuk chat via WA),Hp : 0812 2044 4428  : 0822 1674 7461 , ,info@martabakapin.com,Klik : http://www.martabakapin.com
MARTABAK KAPTEN,Rp 40.000.000,Makanan & Minuman,,PT HIDANGAN LANGIT ,,2012.0,,6.0,"JL. KAPTEN A. RIVAI NO. 99, SAMPING MAYBANK PALEMBANG ",MARTABAK KAPTEN ,+6281288888576  (Klik nomor untuk chat via WA),0856 0947 3454  0852 6710 2161  WA: 0812 8888 8576  , ,mariaulfah091@gmail.com,Klik : http://www.martabakkapten.com
Martabak Marmara,Rp 150.000.000,Makanan & Minuman,-,PT. Arlinda Putra ,-,2019.0,-,7.0,Kompleks Ruko Ogie Plasa Blok A No 2&3 Jln Siliwangi No 8 Pamulang Tangerang selatan ,Martabak Marmara ,+628123119071  (Klik nomor untuk chat via WA),0813 8888 6163 0812 3119 071 (021)7493969  , ,unix.ugpm@gmail.com,-
Martabak mini Africa 'waka-waka',Rp 6.700.000,Makanan & Minuman,dg kartu kredit di www.franchisewakawaka.com,Zavindra Pijar Raya ,Balik Modal - 1 Bulan,2011.0,promo GEDE November,633.0,Office :Jl.Raya Pondok Aren Perumahan Palem Bintaro Blok E.3 no.10 Tangerng Selatan  ,Poma Indra ,+6285387091369  (Klik nomor untuk chat via WA),0812 8693 9909 , ,Timwakawaka9@gmail.com,-
Martabak Mini Rainbow,Rp 5.700.000,Makanan & Minuman,,Tahu Gila ,,2015.0,,37.0,"Jl. Mawar No. 212A Badran, Laweyan ",Customer Service ,+6281370659111  (Klik nomor untuk chat via WA),0813 7065 9111 , ,martabakminirainbow@gmail.com,-
Martabak Permata,Rp 10.000.000,Makanan & Minuman,-,CV Permata Gemilang Agung ,-,2016.0,-,5.0,Jalan Silih Asih No 16 Kel Cipamokolan Kec Rancasari Kota Bandung ,Martabak Permata ,+6281321123240  (Klik nomor untuk chat via WA),Hp : 0813 2112 3240 , ,permatagemilangagung@gmail.com,Klik : http://www.martabakpermata.co.
Martabak Spektakuler,Rp 275.000.000,Makanan & Minuman,-,Baking Solution Group ,-,1996.0,-,50.0,Jakarta ,Martabak Spektakuler ,+6281368672928  (Klik nomor untuk chat via WA),0813 6867 2928 , ,-,Klik : http://martabakspektakuler.com
Martabak Studio,Rp 35.000.000,Makanan & Minuman,-,CV.MITRA KULINER SEJAHTERA ,-,2019.0,-,1.0,Jln AM Sangaji Gajahan - Solo ,Martabak Studio ,+6282215510077  (Klik nomor untuk chat via WA),Hp : 0822 1551 0077 , ,martabakstudio88@gmail.com,Klik : http://www.instagram.com/martabak.studio/
Maslaha Ultra Cool,Rp 40.000.000,Lainnya,,PT. BHAKTI NUSA BAHTERA ,,2015.0,,9.0,jl Palagan Tentara Pelajar km 8 no 65 Ngaglik sleman Yogyakarta ,agus Widarba ,+628112505045  (Klik nomor untuk chat via WA),Telp: 0274 - 3783 331 WA: 0811 2505 045  081232547778  0274 4580364  0274 885576 ,0274 4533307 ,admin@ptbnbindonesia.com,Klik : http://www.ptbnbindonesia.com
Mastercheese Pizza,Rp 350.000.000,Makanan & Minuman,-,Mastercheese Pizza ,-,1999.0,-,23.0,"Jl. Tebet Raya No.76, RT.3/RW.3, Tebet Timur , Tebet, Jakarta Selatan 12820 ",Mastercheese Pizza ,+6281703652788  (Klik nomor untuk chat via WA),0817 0365 2788  (021) 2232 3360 , ,info@mastercheesepizza.com / mastercheeseid@gmail.com,Klik : http://www.mastercheesepizza.com
Masterpiece Window Film,Rp 24.000.000,Otomotif,-,MAKKO GROUP ,-,2010.0,-,20.0,"Jl Raya Telesonik No. 10 Pergudangan Surya Kadu Blok H No. 9 Kel. Kadu Kec. Curug, Tangerang ",Masterpiece ,+628128800090  (Klik nomor untuk chat via WA),Hp : 08128800090 , ,info@masterpiece-windowfilm.com,Klik : https://masterpiece-windowfilm.com
MATCHO CHOCOLATE DRINK,Rp 4.000.000,Makanan & Minuman,No Franchisee Fee,MATHENA GROUP ,No Royalty Fee,2012.0,No Advertising,175.0,Jl. Ir. H. Juanda No. 93 Cikampek ( Kota Baru ) - Karawang Jawa Barat ,Yoyok Widiartono ,,0813 8099 2345 Whatsapp : 0895 1013 6011 ,0264.828 5218 ,matcho.chocolate@gmail.com,Klik : http://Masih Dalam PEMULIHAN
MAU! Indonesia,Rp 75.000.000,Makanan & Minuman,,PT. Pesona Rindu Makkah ,,2018.0,,9.0,jl. Letjen Ibrahim Adjie no 196. Sindang Barang. Kota Bogor ,MAU! Indonesia ,+6281297980956  (Klik nomor untuk chat via WA),Kantor : (025) 1758 2904 , ,-,-
MeeNUM,Rp 120.000.000,Makanan & Minuman,-,PT Pesona Minuman Indonesia ,-,2019.0,-,55.0,"pulogadung, jakarta timur  ",MeeNUM ,+6281389996956  (Klik nomor untuk chat via WA),Hp : 0813 8999 6956 , ,meenum@yahoo.com,Klik : http://www.instagram.com/meenum_indonesia/
MEET UP Ice Blend,Rp 6.300.000,Makanan & Minuman,0,Mahesti Group ,0,2014.0,0,15.0,"Perum Fajar Indah ,Baturan Indah IV ,B199 ,Colomadu, Surakarta ",MEET UP ,+628121517171  (Klik nomor untuk chat via WA),081 2151 7171  0823 2306 5757 , ,mahesti.group@gmail.com,-
MEGA CEMERLANG INDONESIA,Rp 24.000.000,Laundry & Jasa Kebersihan,,MEGA CEMERLANG INDONESIA ,,2000.0,,23.0,Wisma Permai Blok L No.2 Waru Sidoarjo JATIM ,MEGA CEMERLANG INDONESIA ,+6287852936679  (Klik nomor untuk chat via WA),Hp : 0878 5293 6679 , ,megacemerlang26@yahoo.co.id,-
Meitea,Rp 10.500.000,Makanan & Minuman,-, ,-,2018.0,-,30.0,Kudus ,meitea ,+6285291555578  (Klik nomor untuk chat via WA),Hp : 0852 9155 5578 Hp : 0852 1222 1168 , ,-,Klik : https://meitea.id/
MesinLaundry.Com,Rp 69.000.000,Laundry & Jasa Kebersihan,,PT Mandiri Lintasbuana Cakrawala ,,2008.0,,40.0,"Grha HELSRI Jl Raya Bogor KM. 33,3 No. 4, Curug, Cimanggis, West Java 16453 ",Mesinlaundry.com ,+628111296605  (Klik nomor untuk chat via WA),WA : 08111296605 Hp : 08111601400 Tlp: 021-7868686 , ,sales@mesinlaudry.com,Klik : http://mesinlaundry.com
Meyer Food,Rp (Please Call),Makanan & Minuman,-,Meyer Food ,-,2019.0,-,6.0,"Rukan wallstreet no 29, Green Lake City, petir cipondoh tangerang banten.  ",Meyer Food ,+6289628675654  (Klik nomor untuk chat via WA),Hp : 089628675654  Hp : 087781042228  Hp : 08778102228 , ,hello@meyerfood.id,Klik : https://meyerfood.id
Miauw Boba,Rp 2.475.000,Makanan & Minuman,2475000,CV. CASA GROUP INDONESIA ,-,2020.0,-,10.0,"Jl. Kemerdekaan No 6, Ngloji 06/01,Purbayan,Baki,Sukoharjo, Kode Pos 57556 ",Miauw Boba ,+6281327479016  (Klik nomor untuk chat via WA),Hp : 0813 2596 5844 Hp : 0813 2747 9016 , ,casagroup.indonesia@gmail.com,-
MIE ACEH SEULAWAH,Rp 300.000.000,Makanan & Minuman,-,MIE ACEH SEULAWAH ,-,1996.0,-,8.0,Jl. Bendungan Hilir Raya No. 8 Depan RSAL Mintohardjo - Jakarta Pusat ,MIE ACEH SEULAWAH ,+6281296054696  (Klik nomor untuk chat via WA),Heru : 082122121166  Meutia : 081296054696  Tlp : (021)5708660 , ,askadmin@mieacehseulawah.com,Klik : http://mieacehseulawah.com
Mie Ayam Bakso Hakiki,Rp 5.000.000,Makanan & Minuman,-,Mie Ayam Hakiki ,-,2013.0,-,5.0,"Jl Ceger Raya No.10 Pondong Aren, Tangerang Selatan ",Muhammad Rokib ,+6285781511317  (Klik nomor untuk chat via WA),085781511317 , ,mieayamhakiki@gmail.com,-
Mie Ayam Grobakan,Rp 12.500.000,Makanan & Minuman,0,Mie Ayam Grobakan ,0,2010.0,0,50.0,"Jl. Margonda Raya, Gg. H. Marsaid No. 56 Rt 03 Rw 12, Kelurahan kemirimuka, Kecamatan Beji, Depok ",Wahyu Indra ,+6285100880524  (Klik nomor untuk chat via WA),0812 964 9478 0877 8219 2951 0851 0088 0524 , ,wahyuindra@mieayamgrobakan.com,Klik : http://www.mieayamgrobakan.com
Mie Ayam Pak Usman,Rp 18.500.000,Makanan & Minuman,,Mie Ayam Pak Usman ,,1998.0,,1.0,Jalan Ploso IXD No 6 Surabaya ,081233061643 ,+6281233061643  (Klik nomor untuk chat via WA),081233061643 ,081233061643 ,rahayucatur03@gmail.com,-
Mie Ayam Tuman,Rp 5.500.000,Makanan & Minuman,-,Mie Ayam Tuman ,-,2019.0,-,15.0,"Jl. Kp. Malang Tengah I No.57, Tegalsari, Surabaya, Jawa Timur ",Anny  ,+6285330218180  (Klik nomor untuk chat via WA),0812 7587 7314 (Dhanny) 0853 3021 8180 (Anny)  , ,tumanmieayam@gmail.com,Klik : https://www.tumanterus.com
Mie Batavia,Rp 95.000.000,Makanan & Minuman,Rp 75.000.000,PT Naga Sejahtera Indonesia ,5%,2010.0,,10.0,"Komplek Kelapa Gading Trade Center Blok A3 & A5 Jl. Raya Boulevard Barat, Kelapa Gading - Jakarta Utara 14240 ",Mie Kota Batavia ,+6282216244238  (Klik nomor untuk chat via WA),0851 0578 9688  021 - 4585 8927  021 - 4585 8928  021 - 4585 8929  021 - 2627 5168 , ,franchise@miebatavia.com,-
Mie Goreng UMIHANTSA,Rp 8.800.000,Makanan & Minuman,-,Avindra Bersaudara ,-,2010.0,-,10.0,"Jl. Margonda Raya, Gg. H. Marsaid No. 56 Rt 03 Rw 12, Kelurahan Kemirimuka, Kecamatan Beji, Depok ",Bpk Wahyu Indra ,+6285100880524  (Klik nomor untuk chat via WA),0812 964 9478 0877 8219 2951 0851 0088 0524 ,- ,umihantsa@gmail.com,Klik : http://www.usaharumahanyangmenjanjikan.com
Mie KTRX (Mie Katrok),Rp 6.500.000,Makanan & Minuman,-, ,-,2013.0,-,10.0,"Kyai Telingsing No.9, Demangan, Kec. Kota Kudus, Kabupaten Kudus, Jawa Tengah 59316 ",Mie Katrok ,+6281233659544  (Klik nomor untuk chat via WA),Hp : 081233659544 , ,miekatrok@gmail.com,Klik : https://www.miekatrok.com/
Mie Setan Express,Rp 7.500.000,Makanan & Minuman,-,CV kim Food Sentosa ,-,2020.0,-,10.0,Puri permata hijau B41 Madiun ,Mie Ssetan Express ,+6281217728322  (Klik nomor untuk chat via WA),Hp : 0812 1772 8322 , ,cvkimfoodsentosa@gmail.com,-
Mie Setan Njerit,Rp 25.000.000,Makanan & Minuman,,C.V. Mie Njerit Sukses Mandiri ,,2015.0,,120.0,kantor pusat : jl utama mulya 1 no 11 Madiun  Cabang : Jl Mt haryono ,Mie Setan Njerit ,+6281231420043  (Klik nomor untuk chat via WA),0812 3142 0043 , ,Diesthamarta@gmail.com,Klik : http://Www.miesetannjerit.com
Mie & You X Verrell Bramasta,Rp 199.000.000,Makanan & Minuman,,Makko Group ,,2019.0,,5.0,"Jl. Raya Marina Indah, Komplek Ruko Cordoba Blok E No. 6,Pantai Indah Kapuk (PIK) Jakarta Utara ",Mie & You ,+6281296335255  (Klik nomor untuk chat via WA),Hp : 081296335255 Tlp:(021)29438375  , ,mieandyou.official@gmail.com,-
Milchtee,Rp 40.000.000,Makanan & Minuman,,Milchtee ,,2016.0,,8.0,Royal plaza surabaya ,Irvan ,+6282232104202  (Klik nomor untuk chat via WA),082232104202 , ,milchtee.indonesia@gmail.com,-
Million Go Wash,Rp 30.000.000,Otomotif,-,Golden Group ,-,2015.0,-,4.0,"Kampoeng Semawis, Blok Warak Ngendog K.08 Jl. Kedung Mundu Raya, Semarang ",Ms.Linda ,+6287731355178  (Klik nomor untuk chat via WA),024-76411788 WA 0877 3135 5178 WA 0878 3380 5151 ,- ,million.gowash@gmail.com,-
Miloval,Rp 15.000.000,Makanan & Minuman,, ,,2019.0,,12.0,"Jl. Krisna Barat Blok K 14, Gedongan, Colomadu Karanganyar - Jawa Tengah ",Miloval ,+6285725568283  (Klik nomor untuk chat via WA),0857 2567 1042 0857 2556 8283 , ,Milovaldigital@gmail.com,Klik : http://www.miloval.com
Mimik Susu,Rp 3.750.000,Makanan & Minuman,Rp 3.750.000,CV JAYA GEMILANG KREASINDO ,,2020.0,,10.0,"Jl. Samratulangi no.46B Kel.Kerten, Kec.Laweyan, Kota Surakarta 57171 ",085728400663&#8236; ,+6285728400663  (Klik nomor untuk chat via WA),Hp : 0857 2840 0663 , ,Mimiksusu.soc@gmail.com,-
Minum Berdua,Rp 39.000.000,Makanan & Minuman,-,Minum Berdua ,-,2019.0,-,30.0,"Taman lopang indah Blok DB 6 No 8 Serang, Banten ",Minum Berdua ,+628111964601  (Klik nomor untuk chat via WA),Hp : 0811 1964 601 , ,minumberdua@gmail.com,-
Mi Num Dong,Rp 8.300.000,Makanan & Minuman,-, ,-,2018.0,-,7.0,jln. Bojong asri XVI blok d24 no.4 ,Mi Num Dong ,+6282123526286  (Klik nomor untuk chat via WA),082123526286 , ,handysaputra28@gmail.com,-
Mister Pepo,Rp 3.500.000,Makanan & Minuman,,CV PIONI ADYA GROUP ,,2018.0,,12.0,"Jl Sariwangi Kav KSM 81 C, Bandung ",Mister Pepo ,+6281809997511  (Klik nomor untuk chat via WA),0818 0999 7511  0813 2000 4532 , ,makomisterpepo@gmail.com,-
Mister R Jamur Crispy,Rp 6.000.000,Makanan & Minuman,-,Mister R Jamur Crispy ,-,2008.0,-,95.0,"Perum Pondok Baru Permai Blok A.2 No 9, Ngebrak, Gentan, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57556 ",Mister R Jamur Crispy ,+6285329338556  (Klik nomor untuk chat via WA),Hp : 085329338556 , ,jamurcrispy@mail.com,Klik : https://jamurcrispy.com
MITLOIN,Rp 350.000.000,Retail,50%,PT MITLOIN GLOBAL GROUP ,,2016.0,,1.0,"Ruko Sentral Niaga Boulevard (RSNB) No. 31, Grand Galaxy, Bekasi. ",Dana ,+6282114798547  (Klik nomor untuk chat via WA),082114798547 , ,mitloin.global@yahoo.com,Klik : http://www.mitloin.com
Mizterpi,Rp 4.700.000,Makanan & Minuman,,Mizterpi ,,2012.0,,53.0,Jl.sunan kudus 61 kota kudus ,Mizterpi ,+6282220165100  (Klik nomor untuk chat via WA),hp : 0822 2016 5100 , ,misterpindonesia@gmail.com,Klik : https://mizterpi.com
Mobil Indostation,Rp 100.000.000,Otomotif,5 Juta / Thn,PT Indomobil Prima Energi ,-,2018.0,-,40.0,"Indomobil Tower Lt. 19 Jl Mt Haryono Kav 11, Kampung Melayu, Jatinegara, Jakarta Timur ",Mobil Indostation ,+62811868668  (Klik nomor untuk chat via WA),0811 868 668 , ,kevinsiswanto42@gmail.com,-
Mobo Thai Tea,Rp 4.500.000,Makanan & Minuman,,MoBo Indonesia ,,2016.0,,6.0,Jl. S. Indragiri 25/290 Sangkrah Pasar Kliwon Surakarta 57119 ,mobo thai tea ,+6285799996700  (Klik nomor untuk chat via WA),0857 9999 6700 , ,mobothaitea@gmail.com,-
mocha mocha thai tea,Rp 10.000.000,Makanan & Minuman,free,CV. Minto Jaya ,free,2018.0,free,18.0,Jl. Tegalrejo VI No.06 Semarang ,Anto ,+6281389757008  (Klik nomor untuk chat via WA),081389757008 , ,purwanto0901@gmail.com,-
Modern Cincau,Rp 20.000.000,Makanan & Minuman,free franchise fee, ,free royalty fee,2020.0,free,1.0,Jalan Wastukencana No 17. Kota bandung ,Modern Cincau ,+6288223578211  (Klik nomor untuk chat via WA),+62 882-2357-8211 , ,mocinindonesia@gmail.com,-
Modern Montessori International (MMI),Rp 500.000.000,Jasa Pendidikan & Pelatihan,,Montessori International Group ,,1998.0,,22.0,"Suite A-306, Level 3 Epicentrum Walk Jl. Rasuna Said, Jakarta, Indonesia ",MMI ,+628118777003  (Klik nomor untuk chat via WA),+6221 2780 7497 0811 8777 003 021 2991 2274 0818 0870 4227 , ,enquiry@mmi-indonesia.com,Klik : http://www.mmi-indonesia.com
Mokalagi,Rp 500.000,Makanan & Minuman,, ,,2018.0,,43.0,"Parepare,Sulsel ",Mokalagi ,+6288705995268  (Klik nomor untuk chat via WA),0887 0599 5268 , ,mokalagifood@gmail.com,-
Mommilk Express,Rp 19.000.000,Makanan & Minuman,, ,,2011.0,,12.0,"Jl. Adi Sucipto, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139 ",Vennic Rayenhard Nicolas ,+6282223096226  (Klik nomor untuk chat via WA),0822 2309 6226 , ,mommilkexpress@gmail.com,Klik : http://mommilkexpress.com
MOMOCHI (Premium Mochi Ice Cream),Rp 5.000.000,Makanan & Minuman,-,CV.Aruziki ,-,2011.0,-,17.0,Vila Bogor Indah Blok F3 No.36-37 Bogor 16157 ,Iwan Widoyoko ,+6281388484800  (Klik nomor untuk chat via WA),0856 9222 1584 , ,cv.aruziki@gmail.com,Klik : http://www.momochi.web.id
Monster Gulali,Rp 20.000.000,Makanan & Minuman,-,Monster Gulali ,-,2017.0,-,10.0,Rejosari 1 no.8 Semarang  ,Yerry  ,+6287888827577  (Klik nomor untuk chat via WA),081901905686 087888827577  , ,Yerry14and@gmail.com,Klik : http://www.monstergulaliofficial.com
Monster Iceblend,Rp 7.000.000,Makanan & Minuman,,Forty Eight Group ,,2012.0,,128.0,"Jl. Hasanudin No. 53, Badran, Laweyan, Surakarta 57142 ",Ayuk (Jawa) & Ella (Luar Jawa) ,+6281329230002  (Klik nomor untuk chat via WA),081329230002 (jawa) 081226466641 (luar jawa) BBM : D39FD637 (jawa) BBM : D386CFB0 (luar jawa) ,- ,monstericeblend@yahoo.co.id,Klik : http://www.monstericeblend.com
MoodBooster,Rp 97.800.000,Makanan & Minuman,,PT. Rasa Prima Mitra Sentosa ,,2020.0,,5.0,"Apartment Sentra Timur Residence K11 TB, Cakung, Pulogebang, Jakarta Timur 13950 ",MoodBooster ,+6287771575594  (Klik nomor untuk chat via WA),Telp Kantor : 081918888805 , ,moodboosterresto@gmail.com,-
Moon Chicken,Rp (Please Call),Makanan & Minuman,,PT. Modular Kuliner ,,2019.0,,41.0,"Ruko Graha Arteri, Unit 36-37. Jalan Panjang no 36, Kedoya Selatan Kebon Jeruk, Jakarta Barat ",Moon Chicken ,+6281808455668  (Klik nomor untuk chat via WA),Marketing Franchise : - Martha : +62 812 6640 6532 - Marissa : +62 818 0845 5668 - Riza : +62 812 8519 1127 , ,partnership@ishangry.com,Klik : http://www.ishangry
Mopi Baca Tulis,Rp 25.000.000,Jasa Pendidikan & Pelatihan,,Mopi Baca Tulis ,,2005.0,,8.0,"Jl. Gunung Sahari Raya No.60-63, Ruko Gunung Sahari Permai Blok C No.7, Jakarta Pusat 10610 ",Mopi Baca Tulis ,+62818745078  (Klik nomor untuk chat via WA),Telp: (021) 4207905 (021) 4207906  Mobile: 0818 745 078 , ,Info.mopibacatulis@gmail.com,Klik : http://mopibacatulis.com
MOPI - Mobile Kopi,Rp 120.000.000,Makanan & Minuman,,PT Mobile Kopi Indonesia ,berlaku setelah Franchisee balik modal,2019.0,,20.0,"Grand Puri Niaga, Jl Puri Kencana Blok K6 no 5G, Jakarta Barat ",MOPI ,+6281933977933  (Klik nomor untuk chat via WA),+62 819-3397-7933 , ,info.mopicare@mopi.id,Klik : http://www.instagram.com/mopi.idn
